,D_eff,alpha,sigma
0,0.0008863581384734947,0.11751247250729548,0.007152853320680185
1,0.001301704093546696,0.2585824368204209,0.008013148207968756
2,0.0023775124376086737,0.4676043065305652,0.005371742960421436
3,0.0009187615064556392,0.39568593617822,0.009566699631966564
5,0.0018137637599968499,0.083982607789893,0.004968846742918593
6,0.0009703874884940648,0.5768250436455631,0.008091804401834832
7,0.0016663265947419782,0.09730236858078119,0.008035186030452472
8,0.0031992520988514367,0.08344117602165993,0.0016139475385252204
9,0.001587894137525607,0.2590860285314055,0.0010000000000000002
10,0.0016698833619644398,0.34317264420796895,0.0062834027453871075
11,0.0010592565162616623,0.30647105092103333,0.007949026709521986
12,0.0018905476187170292,0.3040534578627484,0.001000000000000005
13,0.0006992487368162403,0.5730890012378336,0.007355231257027598
14,0.00026319138371587295,0.2405059120974232,0.0035272211402794904
15,0.0007744401726386714,0.13926495015460216,0.00728253069322925
18,0.0008722119886071911,0.28391074630646973,0.011760531558865282
20,0.0011665304319077399,0.2639184182386135,0.0011641323924126232
21,0.0008647697057861738,0.2290968343597619,0.009730650411433128
22,0.0010927092351031016,0.3923777143672247,0.009589818602540047
23,0.0007965819957777265,0.35812568401611894,0.007729709602206546
25,0.0005083415948109743,0.45341530842267425,0.009206103429385444
26,0.000481951619422223,0.42413284950229946,0.005754951110116745
27,0.0018174261988260585,0.4157592017703384,0.0067442587629351295
28,0.0007653619835212847,0.5357208257073497,0.006103169340525975
29,0.00038268588557280656,0.26930535970228414,0.004803166133337854
30,0.0004874038990616822,0.25313178549262794,0.009279730529276813
31,0.0010322710106942254,0.5141919859243751,0.00985338692077043
32,0.00042982485268316885,0.31486399967202033,0.005469677926106032
33,0.0012475419026404234,0.05622285436569232,0.004487488356007373
34,0.0010837181795616522,0.44687048606825874,0.006361986625500221
35,0.0009619810885482787,0.17258117051759983,0.004955857178161445
36,0.0008143522531303487,0.45054709750190114,0.0028295579434964462
37,0.0007450656081460666,0.08305758310907951,0.00366694541299506
38,0.0024227355671402754,0.48268963983285135,0.009272043099007385
39,0.0003443010998624307,0.8229880396992324,0.01135969071487524
40,0.0013320957612799405,0.38831704837355724,0.004554986979406894
41,0.0010206477033226733,0.24100299556112176,0.006577030573784051
42,0.0009388623558719406,0.5541574125162473,0.011937849309318939
43,0.00023477116526248593,0.3385752783515249,0.005570800622416031
44,0.0010184247995261787,0.3826574991714035,0.004265880112542571
46,0.0009415495244938025,0.6276419029467657,0.013541558792341403
47,0.00023190198183761998,0.5480956294725446,0.0058168254866700925
48,0.0005473261753290914,0.60074425988213,0.006586093302552753
49,0.0002905509264274854,0.16888119023996218,0.0010000000000001215
50,0.001056437000038096,0.3764376858994641,0.011086310039363705
51,0.0017709389219696062,0.05053285821944886,0.0010000000000000002
52,0.000700727322677512,0.46646567096837765,0.005609279852857143
