"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty_xy [nm]"
4,1,3217.9123673,6708.9924088,7.2813202,1213.6352178,2168.7001101,151.7528737,73.4616752,7.1389132
16,1,5679.0335704,10584.203543,10.1169433,2608.0146341,2027.5915741,201.2356825,137.0544479,4.5725131
17,1,5932.0593653,21918.9715099,60.68461,3987.2649566,2986.7889278,195.3215093,89.8553242,9.7622008
19,1,6117.8902753,19895.4997552,124.4011559,45372.4825797,3715.4299141,634.034976,571.0480053,9.1919024
21,1,6579.4423878,16387.4742434,5.0479326,2132.8360032,3004.7857301,232.2644136,119.9779846,6.070172
28,1,7849.6174093,11281.9133931,302.2393587,104525.4122147,1654.0681338,214.7557896,88.3546238,7.5057909
48,1,10349.065564,21643.2726988,143.4101319,35311.6901193,2822.4930027,381.1838882,243.8884952,9.2670305
49,1,10777.5844251,8270.2854646,128.3437328,9584.4540824,2547.2721903,127.2476618,41.8035196,9.3846466
55,1,11148.1763216,27677.5945179,404.8164539,86155.2875614,744.6589923,115.3688938,48.1569089,8.7876193
64,1,12678.0101053,14013.1847095,150.585593,35893.3240852,3506.2158109,379.124512,212.2230519,9.9351133
73,1,13447.6644083,1265.3315315,120.8354811,24891.3671402,2787.276864,252.4688649,115.5013014,6.3881771
81,1,14689.2743053,16536.6302843,131.0264778,25087.2041004,2748.512193,210.1356401,87.5818096,6.1431282
89,1,16381.9862315,8115.8660916,15.5776077,1763.9965652,3207.4773069,199.850371,88.8529895,7.282788
93,1,17011.3948551,2252.5771642,166.0684555,62265.3174997,3413.2755524,414.5535396,203.2020405,7.5472525
96,1,17260.2592059,7473.3152123,133.6044566,30467.6576323,3229.5816097,241.4494405,89.2805663,6.0144581
103,1,18047.2713115,16557.0519985,128.2721333,19540.0743353,2282.8999958,133.2670792,41.5170679,4.8893357
134,1,21499.3569604,7016.9673882,105.2823498,25986.2036955,2773.0021495,267.4097054,149.8108051,5.0685034
136,1,21870.9875267,19385.9280536,518.0163404,224751.6321426,80.2104246,148.9430762,74.4028454,7.0918134
140,1,22450.9087515,5621.6809886,121.5311702,23842.6453092,2693.0806091,334.1866007,247.9969221,8.8659984
147,1,23990.0098631,8386.1450114,5.2884295,1969.1580889,2327.685702,197.9268363,113.5276004,5.6355217
148,1,23951.6589999,14459.2590962,112.3788275,20554.662688,2129.1944604,230.5189455,124.4016204,6.2028128
182,2,8006.9401891,17215.9786106,51.2415226,2304.7969253,3023.118326,130.7844482,38.9017431,9.0139817
187,2,8636.8342576,9105.9831385,624.5932941,490655.5540198,75.7302759,187.3481697,80.2420946,5.9250192
196,2,10391.6739636,21631.0876247,129.4513801,30931.3808016,3040.3192015,293.4095361,125.7959336,6.7630391
201,2,11107.0939441,22183.9512314,108.7753314,17727.537136,3026.4120673,245.6277495,100.8028008,7.2064989
212,2,12654.8259121,14013.7411807,144.2625071,38306.0780278,3645.1978661,425.1737725,248.2362337,9.6267232
217,2,13417.932927,1289.3583816,124.3665599,22270.9487572,2737.6854955,213.3610421,80.0521629,6.3765748
226,2,14676.9560962,16509.9863101,139.5646966,24283.2285771,2849.1618046,191.5718911,67.0474963,6.5101385
235,2,16087.0385153,20971.3177731,124.9828214,10655.9631816,2566.0623264,154.2414364,56.7519612,9.7078992
239,2,16997.5765052,2265.4064749,176.0690064,64840.1874538,3517.2143376,373.6175573,174.0438374,7.3108826
242,2,17249.3293755,7472.9197768,125.6097937,24850.8202293,3266.8646265,282.8328707,127.2947762,7.669005
247,2,17713.6667358,12559.7953424,450.6845541,210989.0632819,536.1776387,143.1841878,49.1478122,5.5437049
275,2,21160.7671326,9136.0835207,107.3995263,8990.4929058,2361.483468,169.3032287,77.8261419,9.5847419
277,2,21448.710666,7012.7716928,109.9633891,31001.1326015,2666.1346661,188.5854194,69.4224122,3.2999055
283,2,22460.8862655,5635.4588101,135.4436904,32038.5299194,2445.8178769,246.1587926,105.8230415,5.9799108
286,2,23350.3045247,15091.6954753,3.7830873,1997.6279991,2359.1836374,226.7157279,147.8836294,6.2752879
291,2,23962.4774345,14469.6435506,127.4581016,29102.4575589,1916.6470301,176.4131616,91.7869014,4.2755867
344,3,10376.417669,21619.2976539,136.4295195,35015.9466104,2809.4078743,253.7168322,98.2790469,5.7172845
349,3,11102.1988362,22177.408832,142.8906188,29844.1892075,2567.1645966,286.5803631,156.8693909,8.2130775
365,3,13442.3938973,1281.8598584,99.3852312,18149.2984978,3137.6248793,304.9075217,168.7945029,7.4257569
371,3,14682.9903712,16510.1402967,128.7411108,23306.4656599,2820.3288737,253.7421664,123.0589352,7.6852054
387,3,17012.4361828,2257.7012916,163.9041291,60300.1101133,3492.3707697,368.5887395,161.1160992,6.7702857
388,3,16906.4658482,6567.5016575,11.1015124,1249.8028703,3160.0182447,184.6473055,74.2613923,8.7875111
389,3,17242.3811119,7440.2226039,134.6455942,26900.1294908,3176.4066707,183.7048085,56.6195498,5.2971093
396,3,18048.3365707,16592.7264354,103.7898141,17164.9353282,2440.0042017,276.7391783,177.6720578,7.6970799
399,3,18317.9563345,7611.7944328,59.7564063,3657.9009612,3062.4861692,186.3335451,75.6668726,9.9311263
403,3,19156.2594421,8711.2247806,165.9570479,18434.0885787,2897.5759102,158.575431,52.1829472,9.8080327
421,3,21157.5331149,9161.8545889,15.82056,3576.7721083,2623.0114991,266.2394202,178.0945597,4.8170034
427,3,21409.1491963,7000.9330168,114.2996115,35455.2473717,2796.7824555,359.4840962,215.6323325,5.7548052
434,3,22504.1221003,5619.8619686,134.0086364,25696.7374783,2766.5133317,197.9626652,81.457362,5.9011022
440,3,23865.0216962,11219.0210167,4.5744273,1133.9862307,2313.9354975,181.1899718,101.0073143,8.8609508
441,3,23956.5311795,14454.4849172,121.2166896,28644.0145754,1958.2827151,202.8687054,109.0463364,4.5322798
467,4,6091.3268699,19907.8116476,140.6657151,61107.6291439,3248.2994695,661.1113057,565.2113412,8.9354655
471,4,6788.5611081,11868.9083454,142.1623015,18345.6861465,2593.0915848,212.9071723,101.8174307,9.8427721
474,4,7696.1377717,17155.2399036,74.9801094,3551.4640844,2728.1119442,110.4446955,30.5529617,8.666002
496,4,10368.6915544,21632.17689,121.2120914,28582.1724752,2921.9310056,315.0445672,170.0348882,6.9568197
502,4,11112.579611,22201.8535838,124.8079158,20407.5160119,2792.6923846,197.1940686,72.0083872,6.4802111
515,4,12482.6121414,5404.9922564,673.8838169,528792.6934037,282.4186619,209.61049,91.9654657,7.120651
525,4,13451.0457107,1272.6193213,112.1627571,19303.0665669,3073.6146615,212.4239964,84.3079309,6.0754433
533,4,14672.5599895,13068.1985497,606.2267612,367185.155637,1163.3589374,222.068302,93.0106637,8.7684466
548,4,17029.7338181,2259.6690374,172.5423783,78134.6603744,3026.803347,378.6360853,145.1087033,5.9253524
550,4,17283.3642861,7457.7307892,152.5094776,29930.1806022,2938.2213492,252.7779332,112.3521145,8.1753858
555,4,18018.6346515,16565.8707765,92.2564995,15092.2286799,2508.7121221,221.2092132,120.0957603,5.7360565
583,4,21402.1908758,7001.6093812,116.596856,37425.6804278,2996.7483806,245.7848917,116.2745419,3.9114614
589,4,22069.0056033,10118.2227135,539.0015385,294202.0200637,23.1706734,215.1573574,140.9617814,8.3975469
592,4,22473.7353422,5597.43131,159.6504093,40413.5880082,2412.042535,373.9249512,253.1671843,9.7220041
597,4,23144.9700053,11226.8436429,114.2730668,12127.7171166,2017.7635362,132.7972089,50.476008,6.3091531
603,4,23960.4429014,14437.3835829,121.5984282,24792.8056236,2103.8238775,227.6951724,142.9350146,5.8675629
623,5,6100.1887609,19902.2468001,134.8106978,56041.4365299,3436.192963,681.9000275,642.0573525,9.2817803
624,5,6484.9257645,14523.7012683,90.8803407,5772.0663713,2936.2517875,126.5869207,35.7976378,8.3920413
