"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty_xy [nm]"
4,1,1850.3305361,12133.1933265,243.9231243,65370.2352241,2330.2484163,196.5927141,65.8321644,7.22634
6,1,2018.9421919,13006.5658872,427.7651626,202113.1000958,1233.8058713,257.6000509,130.9206527,9.2167942
8,1,2135.078687,16810.7416838,140.3422954,83484.9367887,3369.2490959,456.3005769,251.578366,4.5259141
29,1,4305.0153859,18509.917645,458.6681609,232544.2047397,2020.764589,247.7613106,96.1437552,8.8561562
35,1,4786.5026945,17772.4959205,67.521836,4646.2800539,4498.9526133,193.1840909,55.6909851,9.720361
42,1,5201.5621738,4480.4732043,118.4970634,60381.0011418,4089.9160954,366.8788136,167.6259514,3.7022471
45,1,5170.8400698,19655.8686531,149.1549111,98481.1407262,3955.7455889,495.823522,240.5896558,4.6682255
53,1,6080.7819936,12305.7427815,138.8748408,74533.0814011,6049.1444875,525.5426559,227.2237609,5.7064621
54,1,6363.817031,8436.7674176,123.9003735,17955.3974326,5147.7501573,253.591193,79.1056085,9.2730227
61,1,6834.7855573,3091.2779536,7.2194428,2264.5963326,3785.3207358,196.617312,72.9959093,4.9647809
62,1,6828.7184463,14825.4816418,323.2462825,177462.4332512,3283.057318,381.2905893,151.7239126,8.897747
70,1,7405.7459936,11934.5306863,317.5741393,319992.5664894,3718.1792052,643.5735913,291.3409244,8.0251781
74,1,7945.715764,5407.892374,119.4701999,30307.1687751,4420.652863,299.0879341,116.7772068,6.0785958
75,1,7853.735914,16973.0690822,397.237749,173021.3403667,3288.8384145,272.7895476,92.1144924,9.8334984
77,1,8355.3379219,4494.3871707,243.5622458,60257.0663751,3282.8753167,210.761486,60.897223,8.355431
82,1,8855.8125778,1834.5626688,206.9043844,50497.6302287,2869.9544316,239.5616948,97.9436778,8.239119
83,1,8858.7446572,13514.503334,154.1376219,54462.4183908,4869.2453325,361.4227651,135.0755671,6.5452494
98,1,10368.7827052,12351.3876364,509.1979658,409402.7308187,441.1802255,200.5160912,69.1290323,5.0693525
100,1,10671.8265048,8277.2360605,440.5757821,239077.7713723,1633.2844992,212.5323981,73.9721427,6.8560038
107,1,11429.129512,5911.3779847,116.1321112,34874.8637727,4495.2447995,486.352789,274.0935872,8.105805
108,1,11696.3680098,9775.2550495,127.8449186,30565.883021,4442.9458241,198.0090994,48.6811876,4.5728272
113,1,11922.1482037,4909.9992468,410.7653122,187920.5436775,2562.3226548,254.7700679,91.6210308,9.0484623
126,1,13146.4246391,14081.1585276,542.2163265,364072.5620771,991.516377,231.4278408,87.2800238,7.3910428
131,1,13507.1016768,11450.1376044,535.7174114,429100.0231027,1490.6942423,271.0761488,99.4354947,7.1602583
147,2,212.4213738,20455.7333201,274.7401984,78531.2836063,2038.2337367,252.9202894,115.1230925,9.7073038
153,2,2081.2046522,11460.0457556,174.4587283,70437.1588851,3454.8648628,481.1262378,249.4526636,8.4928682
154,2,2102.5052606,16794.6197655,128.8517948,72911.9802757,3677.9830817,526.9525976,303.3654941,5.0941193
155,2,2515.5432597,5601.4245462,369.8419322,141717.8445242,1129.9233288,196.722361,79.7830384,7.5641395
158,2,3075.5718226,9118.4934938,500.3294244,336288.3094158,1368.2285945,176.8540856,46.5499495,5.26655
168,2,4049.7341254,18380.4550774,595.5009836,553258.7013793,586.2194075,257.419052,113.3418355,6.5217792
171,2,4217.259517,4019.0563676,548.9538248,514756.2232124,0.000301,335.7328022,185.7279282,7.738412
188,2,5151.8423521,19644.9747973,143.0179297,106437.425508,4231.5903543,589.04479,317.4762396,4.7344336
190,2,5202.6032288,4474.7281998,116.1444527,56125.4528393,4313.0980899,347.658957,143.4600216,3.6434807
200,2,6081.2855393,12308.3949382,147.3031775,95196.94223,5618.4282814,383.7562715,117.4161002,3.6731041
208,2,6740.9805586,16173.3950743,96.2601128,9886.7502918,4845.2222698,235.6320832,73.6610668,9.9592935
210,2,6976.3233246,6774.6439896,105.9852694,15115.6683687,4228.9807295,235.8038812,79.7096683,7.7429991
222,2,7944.8142158,5415.3172673,126.2088463,32851.3502913,4401.7594138,246.6239464,83.0346793,5.1397069
223,2,7830.7483369,11229.2418048,450.4890694,306872.9733819,2631.2294169,271.32862,83.3033728,7.1011725
232,2,8450.5200699,16514.5796505,488.4123643,295681.5423621,2185.4652408,255.5847489,96.7950438,8.1451995
233,2,8600.6697032,18312.959811,84.8174522,6593.5116832,4621.8553399,174.1760195,43.2826882,8.9337919
235,2,8881.0193217,13500.0943995,132.2969474,41960.9436855,5024.2943881,344.3317854,135.4019016,6.087172
238,2,9038.9389865,10161.8209415,499.8872392,482270.3371512,292.0625266,218.7688826,72.2152673,4.5284378
252,2,10891.3973968,5484.3722643,360.8717047,231017.0103845,2118.8378563,364.0585834,151.6616538,8.1205232
258,2,11428.3002714,5924.5581409,120.6463908,37551.9689426,4331.8089619,481.1472589,292.3141362,7.9837369
259,2,11500.7261027,16033.0198775,413.640666,166794.6177793,2298.610401,198.9421667,61.5044743,8.1044503
260,2,11700.6402462,9789.345935,121.0379009,31407.3511898,4374.3403602,236.4986108,69.2858697,4.7845166
291,3,1442.7788551,9886.8399399,320.8184769,111155.8075016,906.2774258,268.4757547,158.1161614,9.8724683
299,3,2114.0077405,16786.6630559,156.1753264,96127.5320184,2942.2500037,521.1530369,329.7707824,5.4730085
329,3,5175.6681904,4496.5720464,127.3135997,63893.9504958,3906.0167193,277.9693849,97.1449787,3.0523843
331,3,5194.2297969,13747.5831104,517.1607112,542087.8415193,912.8576524,275.6629964,94.4537438,5.3917585
332,3,5171.2367861,19652.7179535,144.1103463,100791.9600721,4422.9986418,479.998426,230.3423224,4.1456012
340,3,6097.8581417,12304.102209,146.6710008,95103.0542224,5447.6811209,475.9519297,173.1400054,4.4994643
353,3,6984.670945,6740.4368309,105.9110702,15375.6795325,4271.7938827,226.294178,72.7283379,7.3050927
358,3,7531.3612016,7516.3564172,151.0178542,20634.7096391,3638.1234556,209.3894677,69.5271139,9.6447204
362,3,7737.0256648,17284.9661076,8.1274009,2377.1895842,5158.2889284,235.2585211,72.2186684,5.6797433
364,3,7917.3284178,5410.1545483,127.3830353,31618.7933068,4172.5080556,349.4179044,160.472232,7.6267613
373,3,8786.1137944,10246.6609457,469.9424929,311739.3052727,1564.297803,222.8529295,73.7848175,6.2713872
