"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty_xy [nm]"
3,1,3125.3737192,10928.9414542,386.2013581,139968.1268847,1564.5202981,233.0091384,108.1325282,9.8327363
5,1,3118.4166118,9601.8943858,114.2724968,19198.491992,3642.9182948,329.6806552,191.3765696,9.7061856
6,1,3362.888123,12417.6524425,503.048294,321223.8674749,794.9001033,215.5724136,89.7228865,6.7367757
17,1,4157.7812194,12057.9707497,136.3371352,60119.4121072,4620.4396644,511.5853437,286.4609693,6.6483059
34,1,5828.9304192,1748.3401422,444.0730669,225310.0211735,785.928061,210.8223722,93.6385554,7.3244377
40,1,6387.1847416,8826.0925586,119.9660167,15965.5658962,4055.2449394,246.6185675,97.1615934,9.5604072
53,1,7208.7987171,15379.4371949,510.2341195,282266.9494497,2527.2027098,206.6011962,59.1223084,7.5499362
55,1,7411.9939672,3759.4794616,131.0916995,33114.6792847,4273.1297468,274.2181168,95.3391517,6.0559832
59,1,7596.5271042,10501.8489546,487.9730068,292125.1734478,1598.5606037,200.7408793,68.3387552,6.5040829
71,1,9028.0400526,2447.4907237,11.9370847,1734.8854132,4679.5669562,250.3253261,95.094634,8.6622172
74,1,9124.6542938,11000.0087178,386.8355647,211223.3232166,1536.5903048,236.8272042,81.926419,6.6725895
87,1,9916.5435908,3616.1925019,588.113774,623909.4113877,558.797426,239.9765255,82.6286042,5.2811946
97,1,10645.2507832,21259.1519211,157.545943,43583.1854073,3878.9037052,368.1418384,158.1299344,8.6623888
124,1,13375.1947144,18962.9344561,155.5806017,121124.5485544,5059.8735503,562.1379441,244.2706795,4.6546224
125,1,13517.9886233,11375.2042676,196.6061236,130376.1747902,5826.1094511,715.021247,362.6549432,8.5646384
126,1,13493.8624078,13076.58877,122.1340545,55020.9183816,5701.718872,583.669735,331.413047,6.7587207
127,1,13660.8027418,5364.9295562,128.5416645,43264.261745,3630.5964763,355.0865304,140.8473414,5.7738297
132,1,14484.8390119,6337.2731949,116.8872007,34503.2400196,3475.6358965,297.9245707,134.7556604,5.1229781
138,1,15266.9120986,7980.8394521,159.1764521,72655.1491986,3221.0531703,341.3867359,156.5142569,4.9436083
144,1,16000.5714099,18523.5333123,372.6259754,171171.088006,1693.3199426,260.3855058,103.2126598,8.3741842
158,2,3381.1701899,8419.2294885,485.0099119,242126.4180471,1436.0658403,191.7871538,68.4029989,7.3970679
